Date,Usage,LagRP,LeadRP,CO2,Day
2018-01-01 00:15:00,3.17,2.95,0.0,0.0,Monday
2018-01-01 00:30:00,4.0,4.46,0.0,0.0,Monday
2018-01-01 00:45:00,3.24,3.28,0.0,0.0,Monday
2018-01-01 01:00:00,3.31,3.56,0.0,0.0,Monday
2018-01-01 01:15:00,3.82,4.5,0.0,0.0,Monday
2018-01-01 01:30:00,3.28,3.56,0.0,0.0,Monday
2018-01-01 01:45:00,3.6,4.14,0.0,0.0,Monday
2018-01-01 02:00:00,3.6,4.28,0.0,0.0,Monday
2018-01-01 02:15:00,3.28,3.64,0.0,0.0,Monday
2018-01-01 02:30:00,3.78,4.72,0.0,0.0,Monday
2018-01-01 02:45:00,3.46,4.03,0.0,0.0,Monday
2018-01-01 03:00:00,3.24,3.64,0.0,0.0,Monday
2018-01-01 03:15:00,3.96,4.97,0.0,0.0,Monday
2018-01-01 03:30:00,3.31,3.74,0.0,0.0,Monday
2018-01-01 03:45:00,3.31,3.85,0.0,0.0,Monday
2018-01-01 04:00:00,3.89,5.0,0.0,0.0,Monday
2018-01-01 04:15:00,3.28,3.82,0.0,0.0,Monday
2018-01-01 04:30:00,3.56,4.28,0.0,0.0,Monday
2018-01-01 04:45:00,3.74,4.54,0.0,0.0,Monday
2018-01-01 05:00:00,3.31,3.6,0.0,0.0,Monday
2018-01-01 05:15:00,3.56,4.07,0.0,0.0,Monday
2018-01-01 05:30:00,3.56,4.1,0.0,0.0,Monday
2018-01-01 05:45:00,3.28,3.49,0.0,0.0,Monday
2018-01-01 06:00:00,3.78,4.32,0.0,0.0,Monday
2018-01-01 06:15:00,3.35,3.64,0.0,0.0,Monday
2018-01-01 06:30:00,3.24,3.35,0.0,0.0,Monday
2018-01-01 06:45:00,3.89,4.46,0.0,0.0,Monday
2018-01-01 07:00:00,3.31,3.53,0.0,0.0,Monday
2018-01-01 07:15:00,3.28,3.49,0.0,0.0,Monday
2018-01-01 07:30:00,3.85,4.75,0.0,0.0,Monday
2018-01-01 07:45:00,3.2,3.6,0.0,0.0,Monday
2018-01-01 08:00:00,3.31,3.78,0.0,0.0,Monday
2018-01-01 08:15:00,3.78,4.75,0.0,0.0,Monday
2018-01-01 08:30:00,3.28,3.74,0.0,0.0,Monday
2018-01-01 08:45:00,3.49,4.46,0.18,0.0,Monday
2018-01-01 09:00:00,3.89,0.0,15.66,0.0,Monday
2018-01-01 09:15:00,3.6,0.0,16.96,0.0,Monday
2018-01-01 09:30:00,4.03,0.0,21.28,0.0,Monday
2018-01-01 09:45:00,3.92,0.0,19.22,0.0,Monday
2018-01-01 10:00:00,3.64,0.0,16.88,0.0,Monday
2018-01-01 10:15:00,4.07,0.0,22.32,0.0,Monday
2018-01-01 10:30:00,3.71,0.0,18.0,0.0,Monday
2018-01-01 10:45:00,3.6,0.0,16.92,0.0,Monday
2018-01-01 11:00:00,4.21,0.0,23.4,0.0,Monday
2018-01-01 11:15:00,3.49,0.0,5.65,0.0,Monday
2018-01-01 11:30:00,3.46,0.0,4.82,0.0,Monday
2018-01-01 11:45:00,4.0,0.0,6.7,0.0,Monday
2018-01-01 12:00:00,3.49,0.0,4.57,0.0,Monday
2018-01-01 12:15:00,3.6,0.0,12.89,0.0,Monday
2018-01-01 12:30:00,4.25,0.0,23.15,0.0,Monday
2018-01-01 12:45:00,3.67,0.0,16.67,0.0,Monday
2018-01-01 13:00:00,3.67,0.0,16.63,0.0,Monday
2018-01-01 13:15:00,4.25,0.0,23.33,0.0,Monday
2018-01-01 13:30:00,3.64,0.0,16.74,0.0,Monday
2018-01-01 13:45:00,3.67,0.0,16.99,0.0,Monday
2018-01-01 14:00:00,4.28,0.0,23.4,0.0,Monday
2018-01-01 14:15:00,3.64,0.0,16.67,0.0,Monday
2018-01-01 14:30:00,3.78,0.0,18.25,0.0,Monday
2018-01-01 14:45:00,4.1,0.0,22.1,0.0,Monday
2018-01-01 15:00:00,3.64,0.0,16.7,0.0,Monday
2018-01-01 15:15:00,3.92,0.0,19.33,0.0,Monday
2018-01-01 15:30:00,4.1,0.0,21.35,0.0,Monday
2018-01-01 15:45:00,3.6,0.0,16.81,0.0,Monday
2018-01-01 16:00:00,3.96,0.0,20.45,0.0,Monday
2018-01-01 16:15:00,4.0,0.0,20.77,0.0,Monday
2018-01-01 16:30:00,3.6,0.0,16.81,0.0,Monday
2018-01-01 16:45:00,4.07,0.0,21.64,0.0,Monday
2018-01-01 17:00:00,3.82,0.0,19.19,0.0,Monday
2018-01-01 17:15:00,3.56,0.0,16.96,0.0,Monday
2018-01-01 17:30:00,4.1,0.0,23.51,0.0,Monday
2018-01-01 17:45:00,3.6,0.0,17.39,0.0,Monday
2018-01-01 18:00:00,3.6,0.0,17.35,0.0,Monday
2018-01-01 18:15:00,4.0,0.0,8.96,0.0,Monday
2018-01-01 18:30:00,3.42,0.0,5.47,0.0,Monday
2018-01-01 18:45:00,3.67,0.0,16.24,0.0,Monday
2018-01-01 19:00:00,4.07,0.0,22.57,0.0,Monday
2018-01-01 19:15:00,3.53,0.0,17.39,0.0,Monday
2018-01-01 19:30:00,3.85,0.0,20.74,0.0,Monday
2018-01-01 19:45:00,3.96,0.0,20.88,0.0,Monday
2018-01-01 20:00:00,3.56,0.0,17.35,0.0,Monday
2018-01-01 20:15:00,4.03,0.0,22.54,0.0,Monday
2018-01-01 20:30:00,3.74,0.0,19.55,0.0,Monday
2018-01-01 20:45:00,3.56,0.0,17.42,0.0,Monday
2018-01-01 21:00:00,4.21,0.0,24.26,0.0,Monday
2018-01-01 21:15:00,3.56,0.0,17.75,0.0,Monday
2018-01-01 21:30:00,3.53,0.0,17.42,0.0,Monday
2018-01-01 21:45:00,4.25,0.0,25.2,0.0,Monday
2018-01-01 22:00:00,3.53,0.0,17.5,0.0,Monday
2018-01-01 22:15:00,3.56,1.44,10.08,0.0,Monday
2018-01-01 22:30:00,3.67,4.21,0.0,0.0,Monday
2018-01-01 22:45:00,3.24,3.35,0.0,0.0,Monday
2018-01-01 23:00:00,3.53,3.74,0.0,0.0,Monday
2018-01-01 23:15:00,3.53,3.42,0.0,0.0,Monday
2018-01-01 23:30:00,3.24,2.95,0.0,0.0,Monday
2018-01-01 23:45:00,3.67,3.96,0.0,0.0,Monday
2018-01-02 00:00:00,3.42,3.46,0.0,0.0,Monday
2018-01-02 00:15:00,3.2,3.1,0.0,0.0,Tuesday
2018-01-02 00:30:00,3.85,4.61,0.0,0.0,Tuesday
2018-01-02 00:45:00,3.28,3.67,0.0,0.0,Tuesday
2018-01-02 01:00:00,3.35,3.6,0.0,0.0,Tuesday
2018-01-02 01:15:00,3.89,4.72,0.0,0.0,Tuesday
2018-01-02 01:30:00,3.28,3.53,0.0,0.0,Tuesday
2018-01-02 01:45:00,3.46,3.96,0.0,0.0,Tuesday
2018-01-02 02:00:00,3.78,4.82,0.0,0.0,Tuesday
2018-01-02 02:15:00,3.31,3.53,0.0,0.0,Tuesday
2018-01-02 02:30:00,3.6,4.36,0.0,0.0,Tuesday
2018-01-02 02:45:00,3.64,4.39,0.0,0.0,Tuesday
2018-01-02 03:00:00,3.28,3.71,0.0,0.0,Tuesday
2018-01-02 03:15:00,3.71,4.57,0.0,0.0,Tuesday
2018-01-02 03:30:00,3.56,4.03,0.0,0.0,Tuesday
2018-01-02 03:45:00,3.24,3.49,0.0,0.0,Tuesday
2018-01-02 04:00:00,3.89,4.64,0.0,0.0,Tuesday
2018-01-02 04:15:00,3.28,3.42,0.0,0.0,Tuesday
2018-01-02 04:30:00,3.28,3.49,0.0,0.0,Tuesday
2018-01-02 04:45:00,3.96,4.68,0.0,0.0,Tuesday
2018-01-02 05:00:00,3.24,3.42,0.0,0.0,Tuesday
2018-01-02 05:15:00,3.46,3.78,0.0,0.0,Tuesday
2018-01-02 05:30:00,3.67,4.07,0.0,0.0,Tuesday
2018-01-02 05:45:00,3.24,3.42,0.0,0.0,Tuesday
2018-01-02 06:00:00,3.67,3.96,0.0,0.0,Tuesday
2018-01-02 06:15:00,3.53,3.78,0.0,0.0,Tuesday
2018-01-02 06:30:00,3.2,3.24,0.0,0.0,Tuesday
2018-01-02 06:45:00,3.78,4.07,0.0,0.0,Tuesday
2018-01-02 07:00:00,3.35,3.35,0.0,0.0,Tuesday
2018-01-02 07:15:00,3.53,3.49,0.0,0.0,Tuesday
2018-01-02 07:30:00,6.3,4.57,0.0,0.0,Tuesday
2018-01-02 07:45:00,6.05,4.79,0.0,0.0,Tuesday
2018-01-02 08:00:00,6.73,4.54,0.0,0.0,Tuesday
2018-01-02 08:15:00,29.02,18.83,0.07,0.0,Tuesday
2018-01-02 08:30:00,46.19,28.66,0.0,0.0,Tuesday
2018-01-02 08:45:00,52.06,35.32,0.0,0.0,Tuesday
2018-01-02 09:00:00,56.2,12.53,0.11,0.0,Tuesday
2018-01-02 09:15:00,56.84,8.32,0.0,0.0,Tuesday
2018-01-02 09:30:00,51.26,4.54,0.94,0.0,Tuesday
2018-01-02 09:45:00,48.13,2.34,1.15,0.0,Tuesday
2018-01-02 10:00:00,52.81,7.06,0.54,0.0,Tuesday
2018-01-02 10:15:00,54.79,7.52,0.14,0.0,Tuesday
2018-01-02 10:30:00,53.21,8.35,0.11,0.0,Tuesday
2018-01-02 10:45:00,80.21,32.4,0.0,0.0,Tuesday
2018-01-02 11:00:00,77.58,25.49,0.0,0.0,Tuesday
2018-01-02 11:15:00,128.52,70.85,0.0,0.0,Tuesday
2018-01-02 11:30:00,144.47,78.48,0.0,0.0,Tuesday
2018-01-02 11:45:00,90.86,54.29,0.0,0.0,Tuesday
2018-01-02 12:00:00,123.3,66.06,0.0,0.0,Tuesday
2018-01-02 12:15:00,19.22,5.54,18.9,0.0,Tuesday
2018-01-02 12:30:00,8.46,0.0,25.92,0.0,Tuesday
2018-01-02 12:45:00,8.24,0.0,25.34,0.0,Tuesday
2018-01-02 13:00:00,8.03,0.0,25.49,0.0,Tuesday
2018-01-02 13:15:00,79.67,27.29,6.52,0.0,Tuesday
2018-01-02 13:30:00,97.85,46.8,0.0,0.0,Tuesday
2018-01-02 13:45:00,124.45,49.79,0.0,0.0,Tuesday
2018-01-02 14:00:00,108.61,43.34,0.0,0.0,Tuesday
2018-01-02 14:15:00,123.12,55.26,0.0,0.0,Tuesday
2018-01-02 14:30:00,129.1,53.5,0.0,0.0,Tuesday
2018-01-02 14:45:00,82.08,27.58,0.0,0.0,Tuesday
2018-01-02 15:00:00,143.89,60.91,0.0,0.0,Tuesday
2018-01-02 15:15:00,86.9,34.27,0.0,0.0,Tuesday
2018-01-02 15:30:00,141.44,62.57,0.0,0.0,Tuesday
2018-01-02 15:45:00,116.53,52.88,0.0,0.0,Tuesday
2018-01-02 16:00:00,129.31,61.16,0.0,0.0,Tuesday
2018-01-02 16:15:00,136.44,56.77,0.0,0.0,Tuesday
2018-01-02 16:30:00,85.72,34.85,0.0,0.0,Tuesday
2018-01-02 16:45:00,147.46,65.27,0.0,0.0,Tuesday
2018-01-02 17:00:00,86.94,30.78,0.0,0.0,Tuesday
2018-01-02 17:15:00,67.25,25.81,0.0,0.0,Tuesday
2018-01-02 17:30:00,115.78,50.04,0.0,0.0,Tuesday
2018-01-02 17:45:00,113.11,34.63,0.0,0.0,Tuesday
2018-01-02 18:00:00,76.75,11.74,1.04,0.0,Tuesday
2018-01-02 18:15:00,41.9,15.23,0.14,0.0,Tuesday
2018-01-02 18:30:00,37.4,19.94,0.0,0.0,Tuesday
2018-01-02 18:45:00,40.25,8.82,0.5,0.0,Tuesday
2018-01-02 19:00:00,34.92,1.98,1.58,0.0,Tuesday
2018-01-02 19:15:00,41.36,6.44,0.43,0.0,Tuesday
2018-01-02 19:30:00,35.96,2.52,1.37,0.0,Tuesday
2018-01-02 19:45:00,39.42,5.29,0.47,0.0,Tuesday
2018-01-02 20:00:00,38.16,4.68,0.5,0.0,Tuesday
2018-01-02 20:15:00,33.23,1.51,3.96,0.0,Tuesday
2018-01-02 20:30:00,25.88,0.0,12.13,0.0,Tuesday
2018-01-02 20:45:00,10.84,0.0,23.22,0.0,Tuesday
2018-01-02 21:00:00,9.29,0.0,23.51,0.0,Tuesday
2018-01-02 21:15:00,6.98,0.0,25.16,0.0,Tuesday
2018-01-02 21:30:00,5.11,0.0,26.5,0.0,Tuesday
2018-01-02 21:45:00,5.08,0.0,26.42,0.0,Tuesday
2018-01-02 22:00:00,5.04,0.0,26.46,0.0,Tuesday
2018-01-02 22:15:00,4.93,1.84,15.44,0.0,Tuesday
2018-01-02 22:30:00,4.64,5.22,0.0,0.0,Tuesday
2018-01-02 22:45:00,4.68,5.18,0.0,0.0,Tuesday
2018-01-02 23:00:00,4.68,5.11,0.0,0.0,Tuesday
2018-01-02 23:15:00,4.57,4.54,0.0,0.0,Tuesday
2018-01-02 23:30:00,4.57,4.25,0.0,0.0,Tuesday
2018-01-02 23:45:00,4.54,4.25,0.0,0.0,Tuesday
2018-01-03 00:00:00,4.61,4.21,0.0,0.0,Tuesday
2018-01-03 00:15:00,4.61,4.61,0.0,0.0,Wednesday
2018-01-03 00:30:00,4.61,4.54,0.0,0.0,Wednesday
2018-01-03 00:45:00,4.57,4.5,0.0,0.0,Wednesday
2018-01-03 01:00:00,4.57,4.61,0.0,0.0,Wednesday
2018-01-03 01:15:00,4.64,4.46,0.0,0.0,Wednesday
2018-01-03 01:30:00,4.64,4.57,0.0,0.0,Wednesday
2018-01-03 01:45:00,4.61,4.79,0.0,0.0,Wednesday
2018-01-03 02:00:00,4.57,4.5,0.0,0.0,Wednesday
2018-01-03 02:15:00,4.61,4.39,0.0,0.0,Wednesday
2018-01-03 02:30:00,4.64,4.75,0.0,0.0,Wednesday
2018-01-03 02:45:00,4.64,4.75,0.0,0.0,Wednesday
2018-01-03 03:00:00,4.57,4.75,0.0,0.0,Wednesday
2018-01-03 03:15:00,4.64,5.11,0.0,0.0,Wednesday
2018-01-03 03:30:00,4.64,4.72,0.0,0.0,Wednesday
2018-01-03 03:45:00,4.68,4.68,0.0,0.0,Wednesday
2018-01-03 04:00:00,4.57,4.46,0.0,0.0,Wednesday
2018-01-03 04:15:00,4.54,4.32,0.0,0.0,Wednesday
2018-01-03 04:30:00,4.61,4.46,0.0,0.0,Wednesday
2018-01-03 04:45:00,4.57,4.32,0.0,0.0,Wednesday
2018-01-03 05:00:00,4.61,4.32,0.0,0.0,Wednesday
2018-01-03 05:15:00,4.54,4.14,0.0,0.0,Wednesday
2018-01-03 05:30:00,4.57,4.21,0.0,0.0,Wednesday
2018-01-03 05:45:00,4.57,4.43,0.0,0.0,Wednesday
2018-01-03 06:00:00,4.57,4.5,0.0,0.0,Wednesday
2018-01-03 06:15:00,4.64,4.61,0.0,0.0,Wednesday
2018-01-03 06:30:00,4.57,4.36,0.0,0.0,Wednesday
2018-01-03 06:45:00,4.61,4.54,0.0,0.0,Wednesday
2018-01-03 07:00:00,4.54,4.28,0.0,0.0,Wednesday
2018-01-03 07:15:00,4.46,4.18,0.0,0.0,Wednesday
2018-01-03 07:30:00,6.12,4.25,0.0,0.0,Wednesday
2018-01-03 07:45:00,7.92,4.68,0.0,0.0,Wednesday
2018-01-03 08:00:00,9.58,4.36,0.0,0.0,Wednesday
2018-01-03 08:15:00,37.01,21.56,0.0,0.02,Wednesday
2018-01-03 08:30:00,74.59,35.86,0.0,0.03,Wednesday
2018-01-03 08:45:00,109.48,53.32,0.0,0.05,Wednesday
2018-01-03 09:00:00,105.08,31.82,0.0,0.05,Wednesday
2018-01-03 09:15:00,121.79,41.26,0.0,0.06,Wednesday
2018-01-03 09:30:00,114.48,30.24,0.0,0.05,Wednesday
2018-01-03 09:45:00,74.2,21.96,0.0,0.03,Wednesday
2018-01-03 10:00:00,54.32,7.13,0.04,0.02,Wednesday
2018-01-03 10:15:00,75.17,25.06,0.0,0.03,Wednesday
2018-01-03 10:30:00,58.07,12.24,0.0,0.03,Wednesday
2018-01-03 10:45:00,67.03,15.08,0.0,0.03,Wednesday
2018-01-03 11:00:00,74.59,31.64,0.04,0.03,Wednesday
2018-01-03 11:15:00,57.56,23.9,0.0,0.03,Wednesday
2018-01-03 11:30:00,78.62,48.06,0.0,0.04,Wednesday
2018-01-03 11:45:00,69.16,44.17,0.0,0.03,Wednesday
2018-01-03 12:00:00,74.05,44.78,0.0,0.03,Wednesday
2018-01-03 12:15:00,11.27,0.5,20.45,0.01,Wednesday
2018-01-03 12:30:00,8.21,0.0,26.21,0.0,Wednesday
2018-01-03 12:45:00,8.14,0.0,25.56,0.0,Wednesday
2018-01-03 13:00:00,7.7,0.0,25.74,0.0,Wednesday
2018-01-03 13:15:00,51.26,21.38,6.08,0.02,Wednesday
2018-01-03 13:30:00,52.7,13.64,0.0,0.02,Wednesday
2018-01-03 13:45:00,55.84,17.24,0.0,0.03,Wednesday
2018-01-03 14:00:00,57.2,17.32,0.0,0.03,Wednesday
2018-01-03 14:15:00,76.57,30.6,0.0,0.04,Wednesday
2018-01-03 14:30:00,61.13,20.45,0.0,0.03,Wednesday
2018-01-03 14:45:00,66.74,26.42,0.0,0.03,Wednesday
2018-01-03 15:00:00,55.8,16.42,0.0,0.03,Wednesday
2018-01-03 15:15:00,57.46,18.25,0.0,0.03,Wednesday
2018-01-03 15:30:00,71.28,28.08,0.0,0.03,Wednesday
2018-01-03 15:45:00,73.15,28.62,0.0,0.03,Wednesday
2018-01-03 16:00:00,68.98,25.81,0.0,0.03,Wednesday
2018-01-03 16:15:00,85.0,27.79,0.0,0.04,Wednesday
2018-01-03 16:30:00,116.53,41.9,0.0,0.05,Wednesday
2018-01-03 16:45:00,118.62,39.06,0.0,0.05,Wednesday
2018-01-03 17:00:00,105.05,35.64,0.0,0.05,Wednesday
2018-01-03 17:15:00,140.51,52.96,0.0,0.06,Wednesday
2018-01-03 17:30:00,114.01,41.15,0.0,0.05,Wednesday
2018-01-03 17:45:00,125.96,39.2,0.0,0.06,Wednesday
2018-01-03 18:00:00,73.62,13.25,1.69,0.03,Wednesday
2018-01-03 18:15:00,36.22,12.74,0.54,0.02,Wednesday
2018-01-03 18:30:00,39.82,18.43,0.0,0.02,Wednesday
2018-01-03 18:45:00,37.08,4.18,1.94,0.02,Wednesday
2018-01-03 19:00:00,42.98,5.47,0.18,0.02,Wednesday
2018-01-03 19:15:00,37.94,0.86,1.58,0.02,Wednesday
2018-01-03 19:30:00,39.71,3.74,0.79,0.02,Wednesday
